pool,dt_seconds,w_ticks,n_windows,sigma_median,sigma_min,sigma_max,pin_empirical_median,pin_empirical_p10,pin_empirical_p90,pin_gaussian_median,delta_median,delta_p10,delta_p90,frac_windows_emp_exceeds_gauss
0x3f0296bf652e19bca772ec3df08b32732f93014a,7200,200,23,2.111157e-04,7.415453e-05,4.717622e-04,0.862323,0.650328,0.977191,0.624726,0.201809,0.058341,0.356716,1.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,7200,500,23,2.111157e-04,7.415453e-05,4.717622e-04,0.998311,0.933116,1.000000,0.940495,0.036101,0.000290,0.224155,0.956522
0x3f0296bf652e19bca772ec3df08b32732f93014a,7200,1000,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,0.996266,1.000000,0.999124,0.000709,0.000000,0.048247,0.956522
0x3f0296bf652e19bca772ec3df08b32732f93014a,21600,200,23,2.111157e-04,7.415453e-05,4.717622e-04,0.719606,0.417155,0.923621,0.419275,0.223227,0.121546,0.369260,0.956522
0x3f0296bf652e19bca772ec3df08b32732f93014a,21600,500,23,2.111157e-04,7.415453e-05,4.717622e-04,0.954073,0.772379,0.999999,0.771346,0.142282,0.021427,0.359936,0.956522
0x3f0296bf652e19bca772ec3df08b32732f93014a,21600,1000,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,0.960132,1.000000,0.965821,0.030282,0.000042,0.186751,1.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,43200,200,23,2.111157e-04,7.415453e-05,4.717622e-04,0.576062,0.296240,0.796117,0.314860,0.239721,0.074527,0.343418,1.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,43200,500,23,2.111157e-04,7.415453e-05,4.717622e-04,0.932542,0.592970,0.997829,0.632957,0.161409,0.064602,0.434776,0.956522
0x3f0296bf652e19bca772ec3df08b32732f93014a,43200,1000,23,2.111157e-04,7.415453e-05,4.717622e-04,0.999365,0.887416,1.000000,0.890039,0.087483,0.002226,0.287049,1.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,200,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,500,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,10,200,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,10,500,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,10,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,30,200,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,30,500,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,30,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,60,200,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.999867,1.000000,1.000000,0.000000,-0.000133,0.000000,0.041667
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,60,500,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,60,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,120,200,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.999611,1.000000,1.000000,0.000000,-0.000389,0.000000,0.083333
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,120,500,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,120,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,300,200,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.998173,1.000000,1.000000,0.000000,-0.001646,0.000000,0.333333
