pool,window_id,window_start_ts,window_seconds,n_events,sigma_per_sqrt_s,dt_seconds,w_ticks,n_samples,pin_empirical_mean,pin_empirical_sd,pin_gaussian,delta_empirical_minus_gaussian
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1734789357,86400,16274,1.046495e-04,43200,200,1500,0.704253,0.199039,0.547841,0.156412
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1734789357,86400,16274,1.046495e-04,43200,500,1500,0.995254,0.026243,0.892524,0.102730
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1734789357,86400,16274,1.046495e-04,43200,1000,1500,1.000000,0.000000,0.995375,0.004625
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,2,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,2,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,2,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,10,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,10,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,10,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,30,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,30,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,30,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,60,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,60,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,60,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,120,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,120,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,120,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,300,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,300,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,300,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,600,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,600,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,600,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,1800,200,1500,1.000000,0.000000,0.999974,0.000026
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,1800,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,1800,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,3600,200,1500,0.998324,0.014568,0.998297,0.000027
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,3600,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,3600,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,7200,200,1500,0.978581,0.085590,0.981672,-0.003090
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,7200,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,7200,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,21600,200,1500,0.850994,0.240670,0.868791,-0.017797
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,21600,500,1500,0.989257,0.046581,0.998585,-0.009328
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,21600,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,43200,200,1500,0.695336,0.320913,0.743980,-0.048644
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,43200,500,1500,0.886818,0.185934,0.983540,-0.096722
